descriptor_1,descriptor_2,abs_pearson_corr,descriptor_category
SP-2,SP-5,0.9094985206247735,Chi path
SP-0,VP-2,0.9094203961779307,Chi path
nFRing,nFG12Ring,0.9093228867574642,Ring count
ETA_Beta_s,ETA_Eta_F,0.908817928307839,Extended topochemical atom
ATSm3,ATSm5,0.9081948494640689,Autocorrelation (mass)
ETA_Epsilon_1,ETA_Epsilon_4,0.9064859715940746,Extended topochemical atom
ETA_BetaP_ns,ETA_dBeta,0.9059621484922032,Extended topochemical atom
ETA_dEpsilon_A,ETA_dEpsilon_C,0.9052204493887236,Extended topochemical atom
nHdsCH,maxdsCH,0.9051070456042912,Atom type electrotopological state
ndsCH,maxdsCH,0.9051070456042912,Atom type electrotopological state
ETA_Epsilon_5,ETA_dEpsilon_C,0.9047868900424288,Extended topochemical atom
ETA_Epsilon_4,ETA_Epsilon_5,0.9044011627873747,Extended topochemical atom
nHCHnX,minHCHnX,0.9030857919416097,Atom type electrotopological state
nHBint8,ndNH,0.9025501404068679,Atom type electrotopological state
nHBint8,nHdNH,0.9025501404068679,Atom type electrotopological state
nHBint8,SdNH,0.9022275911668667,Atom type electrotopological state
nHBint6,nHBint8,0.9017905994211355,Atom type electrotopological state
nBondsD,nBondsM,0.900324715625844,Bond count
SaaaC,maxaaaC,0.9000396080911942,Atom type electrotopological state
