descriptor,descriptor_category,descriptor_numeric_type,candidate_super_block,is_constant,is_near_constant,is_rare_binary_like,dominant_value_ratio
MDEO-22,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.7137791286727457
maxHBint4,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6940222897669707
MDEC-11,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.6732522796352584
maxHBint7,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6636271529888551
maxHBint5,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6524822695035462
SHBint7,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6514690982776089
minHBint7,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6514690982776089
maxaaaC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6474164133738601
SaaaC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6448834853090172
minaaaC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6448834853090172
SHBint5,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6388044579533941
minHBint5,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6388044579533941
maxdssC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6266464032421479
SHCsatu,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6170212765957447
minHCsatu,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6170212765957447
maxHCsatu,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6170212765957447
maxHBint6,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6099290780141844
SsssCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6063829787234043
minsssCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.6063829787234043
SHBint4,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.5785207700101317
minHBint4,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.5785207700101317
SsssN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.5536980749746707
minsssN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.5536980749746707
maxsssN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.5536980749746707
SHBint6,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.538500506585613
minHBint6,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.538500506585613
maxHBint10,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.502532928064843
SHBint10,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.5015197568389058
minHBint10,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.5015197568389058
SssO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.4731509625126646
minssO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.4731509625126646
maxssO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.4731509625126646
SdO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.4680851063829787
mindO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.4680851063829787
maxdO,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.4680851063829787
SCH-5,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.4265450861195542
VCH-5,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.4265450861195542
MDEO-12,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.3946301925025329
SdssC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.3824721377912867
mindssC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.3824721377912867
SsCH3,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.3642350557244174
minsCH3,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.3642350557244174
maxsCH3,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.3642350557244174
MDEC-12,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.3520770010131712
MDEC-13,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.3520770010131712
C2SP3,Carbon types,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.342451874366768
nHCsats,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,False,0.3074974670719351
SHCsats,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.3074974670719351
minHCsats,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.3074974670719351
maxHCsats,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.3074974670719351
maxssCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.2649442755825734
nssCH2,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,False,0.2548125633232016
SssCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.2548125633232016
minssCH2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.2548125633232016
BCUTw-1l,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.2537993920972644
WTPT-5,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.2492401215805471
MDEO-11,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.2441742654508611
MLFER_A,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.232016210739615
SHsOH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.21580547112462
SsOH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.21580547112462
minHsOH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.21580547112462
minsOH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.21580547112462
maxHsOH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.21580547112462
maxsOH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.21580547112462
nHaaCH,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,False,0.2051671732522796
naaCH,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,False,0.2051671732522796
nBondsM,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.1752786220871327
nHother,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,False,0.1666666666666666
C2SP2,Carbon types,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.1494427558257345
nwHBa,Atom type electrotopological state,integer_count_like,block_X_local_electronic_atom_environment,False,False,False,0.1236068895643363
ETA_BetaP_ns_d,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.1028368794326241
ETA_Epsilon_3,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.083080040526849
nC,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0825734549138804
nHeavyAtom,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0795339412360689
ETA_BetaP_s,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0764944275582573
ETA_dAlpha_B,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0759878419452887
nBonds,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0678824721377912
SHBd,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0633232016210739
minHBd,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0633232016210739
maxHBd,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0633232016210739
ETA_dEpsilon_D,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0633232016210739
ETA_Beta_ns,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0633232016210739
nBondsS3,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0628166160081053
nBondsS,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0552178318135764
nH,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0536980749746707
MDEC-22,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0476190476190476
nBonds2,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0450861195542046
nBondsS2,Bond count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0440729483282674
nAtom,Atom count,integer_count_like,block_Y_topological_connectivity_structure,False,False,False,0.0430597771023302
ETA_Beta_s,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.03596757852077
SC-5,Chi cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0354609929078014
ETA_dBeta,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0329280648429584
SHaaCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0288753799392097
SaaCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0288753799392097
minHaaCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0288753799392097
minaaCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0288753799392097
maxHaaCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0288753799392097
maxaaCH,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0288753799392097
maxaasC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0288753799392097
ETA_Eta_B,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0278622087132725
ETA_Eta_B_RC,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0278622087132725
SaasC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0268490374873353
minaasC,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0268490374873353
SP-0,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0263424518743667
VC-5,Chi cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0253292806484295
WTPT-4,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0253292806484295
SCH-6,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0243161094224924
ETA_dBetaP,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0243161094224924
ETA_AlphaP,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0238095238095238
ETA_BetaP,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0227963525835866
VCH-6,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.022289766970618
hmax,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.022289766970618
ETA_Beta,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0217831813576494
ETA_BetaP_ns,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0217831813576494
ETA_Alpha,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0187436676798378
MDEC-33,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0167173252279635
SCH-7,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0162107396149949
ETA_Psi_1,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0157041540020263
ETA_dPsi_A,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0157041540020263
ATSm1,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0151975683890577
ETA_Epsilon_2,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0151975683890577
BCUTw-1h,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0146909827760891
VCH-7,Chi chain,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0146909827760891
SC-3,Chi cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0141843971631205
ETA_Epsilon_5,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0141843971631205
ETA_Epsilon_1,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0136778115501519
ETA_EtaP_B,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0131712259371833
ETA_EtaP_B_RC,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0126646403242147
ATSm2,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0116514690982776
SP-1,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0116514690982776
ETA_Eta_R_L,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0116514690982776
ETA_Epsilon_4,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.011144883485309
ETA_dEpsilon_C,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.011144883485309
ETA_dEpsilon_A,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0106382978723404
ETA_dEpsilon_B,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0106382978723404
MLFER_BH,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0101317122593718
MLFER_BO,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0101317122593718
ETA_Shape_Y,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0096251266464032
VC-3,Chi cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0091185410334346
SPC-4,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0091185410334346
MLFER_S,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.008611955420466
SPC-5,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0081053698074974
hmin,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0075987841945288
MLFER_E,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0075987841945288
VPC-4,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0070921985815602
sumI,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0070921985815602
ETA_Shape_P,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0070921985815602
BCUTc-1l,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0065856129685916
VP-0,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0060790273556231
SHother,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0060790273556231
minHother,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0060790273556231
maxHother,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0060790273556231
MDEC-23,Molecular distance edge,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0060790273556231
ATSm3,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
ATSm5,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
SPC-6,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
SP-2,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
SP-3,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
SP-4,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
SP-6,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
ETA_Eta_R,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0055724417426545
WTPT-1,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
WTPT-2,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0055724417426545
ATSm4,Autocorrelation (mass),continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0050658561296859
SP-5,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0050658561296859
SP-7,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0050658561296859
ETA_Eta_F_L,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0050658561296859
VPC-5,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0045592705167173
VPC-6,Chi path cluster,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0045592705167173
VP-1,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0045592705167173
ETA_Eta_L,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0045592705167173
ETA_EtaP_L,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0045592705167173
ETA_EtaP_F_L,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0045592705167173
MLFER_L,Molecular linear free energy relation,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0040526849037487
ATSc1,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0035460992907801
ATSc2,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0035460992907801
VP-2,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0035460992907801
minHBa,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0035460992907801
maxwHBa,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0035460992907801
gmin,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0035460992907801
MAXDN,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0035460992907801
MAXDN2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0035460992907801
WTPT-3,Weighted path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0035460992907801
ATSc3,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ATSc4,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ATSc5,Autocorrelation (charge),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ATSp1,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ATSp2,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ATSp3,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ATSp4,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ATSp5,Autocorrelation (polarizability),continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
BCUTc-1h,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
BCUTp-1l,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
BCUTp-1h,BCUT,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
VP-3,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0030395136778115
VP-4,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0030395136778115
VP-5,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0030395136778115
VP-6,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0030395136778115
VP-7,Chi path,continuous_float_like,block_Y_topological_connectivity_structure,False,False,False,0.0030395136778115
SHBa,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
SwHBa,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
minwHBa,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
maxHBa,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
gmax,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
LipoaffinityIndex,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
MAXDP,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
DELS,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
MAXDP2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
DELS2,Atom type electrotopological state,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ETA_Eta,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ETA_EtaP,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ETA_Eta_F,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
ETA_EtaP_F,Extended topochemical atom,continuous_float_like,block_X_local_electronic_atom_environment,False,False,False,0.0030395136778115
